PID,Method,Block,Accuracy,Response Time,Completion Time,Selection Time,Error
16,TAP,2,100.0,1021.0,0.0,1021.0,0.0
16,SWIPE,1,100.0,909.3125,362.625,1271.9375,0.0
16,SWIPE,2,100.0,935.8125,331.6875,1267.5,0.0
16,MIDAIR,1,66.66666666666667,630.7333333333333,254.26666666666668,885.0,33.33333333333333
16,MIDAIR,2,75.0,806.1875,172.1875,978.375,25.0
17,TAP,1,93.75,957.5,0.0,957.5,6.25
17,TAP,2,100.0,997.125,0.0,997.125,0.0
17,SWIPE,1,93.75,878.75,325.3125,1204.0625,6.25
17,SWIPE,2,100.0,1169.0625,278.8125,1447.875,0.0
17,MIDAIR,1,78.57142857142857,677.3571428571429,164.71428571428572,842.0714285714286,21.42857142857143
17,MIDAIR,2,91.66666666666667,1043.9166666666667,148.5,1192.4166666666667,8.333333333333329
18,TAP,1,100.0,1279.5333333333333,0.0,1279.5333333333333,0.0
18,TAP,2,100.0,1138.25,0.0,1138.25,0.0
18,SWIPE,1,93.75,884.5625,301.6875,1186.25,6.25
18,SWIPE,2,100.0,918.125,384.125,1302.25,0.0
18,MIDAIR,1,83.33333333333333,393.75,234.75,628.5,16.66666666666667
18,MIDAIR,2,80.0,151.2,219.8,371.0,20.0
