9, Up Right, 1658521175722, 1658521175902
9, Up Left, 1658521183232, 1658521183352
9, Down Right, 1658521190392, 1658521190514
9, Down Right, 1658521198251, 1658521198531
9, Up Left, 1658521257049, 1658521257189
9, Up Left, 1658521265460, 1658521265560
9, Down Left, 1658521272340, 1658521272480
9, Down Right, 1658521280199, 1658521280340
9, Up Left, 1658521287330, 1658521287470
9, Right, 1658521296569, 1658521296689
9, Up, 1658521302179, 1658521302419
9, Down Right, 1658521309688, 1658521309828
9, Right, 1658521317238, 1658521317379
9, Up Left, 1658521325328, 1658521325448
9, Up Right, 1658521332408, 1658521332608
9, Down Right, 1658521339638, 1658521339765
9, Up Left, 1658521347678, 1658521347818
9, Down Right, 1658521355037, 1658521355197
9, Up Left, 1658521362148, 1658521362327
9, Right, 1658521370097, 1658521370317
15, Left, 1658525043970, 1658525044230
15, Down Left, 1658525051480, 1658525051863
15, Right, 1658525058863, 1658525059183
15, Up Right, 1658525066544, 1658525066799
15, Down Left, 1658525074120, 1658525074459
15, Right, 1658525081338, 1658525081619
15, Up, 1658525088826, 1658525089098
15, Down, 1658525096342, 1658525096681
15, Down Left, 1658525104088, 1658525104368
15, Left, 1658525111384, 1658525111923
15, Up, 1658525118688, 1658525118948
15, Right, 1658525126308, 1658525126608
15, Up Right, 1658525133937, 1658525134178
15, Up Left, 1658525141363, 1658525141741
15, Down Right, 1658525149003, 1658525149283
15, Down Right, 1658525156470, 1658525156749
15, Up, 1658525217835, 1658525218086
15, Left, 1658525225785, 1658525225965
15, Down Left, 1658525233475, 1658525233715
15, , 0, 0
15, Up Left, 1658525240594, 1658525240896
15, Right, 1658525255605, 1658525255945
15, Up Right, 1658525263174, 1658525263434
15, Down Left, 1658525270816, 1658525271031
15, Right, 1658525278103, 1658525278364
15, Left, 1658525285714, 1658525285994
15, Up Right, 1658525293103, 1658525293364
15, Down, 1658525300643, 1658525300924
15, Up Left, 1658525308368, 1658525308723
15, Down Left, 1658525315802, 1658525316144
15, Up, 1658525323093, 1658525323373
15, Down Right, 1658525330870, 1658525331142
1, Left, 1658527795667, 1658527795900
1, Down Right, 1658527803444, 1658527803761
1, Up Left, 1658527811910, 1658527812471
1, Up Right, 1658527820120, 1658527820640
1, Down Left, 1658527826435, 1658527826870
1, Right, 1658527833350, 1658527833670
1, Up Left, 1658527840741, 1658527841111
1, Down, 1658527848359, 1658527848639
1, Down Left, 1658527856209, 1658527856489
1, Left, 1658527863499, 1658527863821
1, Up, 1658527870899, 1658527871239
1, Right, 1658527878499, 1658527878783
1, Up Right, 1658527886084, 1658527886565
1, Up Left, 1658527893508, 1658527893929
1, Down, 1658527901218, 1658527901441
1, Down Right, 1658527909598, 1658527909938
1, Up Left, 1658527969397, 1658527969741
1, Left, 1658527977476, 1658527977797
1, Down Left, 1658527984987, 1658527985266
1, Down, 1658527992078, 1658527992295
1, Left, 1658528000002, 1658528000956
1, Right, 1658528007336, 1658528007596
1, Up Right, 1658528015185, 1658528015525
1, Down Right, 1658528023743, 1658528024035
1, Up Right, 1658528029504, 1658528029806
1, Left, 1658528037209, 1658528037464
1, Up Right, 1658528044946, 1658528045244
1, Down, 1658528052515, 1658528052725
1, Up Left, 1658528059744, 1658528060171
1, Down Left, 1658528067545, 1658528067865
1, Up, 1658528074764, 1658528075104
1, Down Right, 1658528082414, 1658528082720
5, Left, 1658687865388, 1658687865628
5, Down Right, 1658687873668, 1658687874028
5, Up Left, 1658687879587, 1658687879868
5, Up Right, 1658687889817, 1658687890097
5, Down Left, 1658687894567, 1658687894847
5, Right, 1658687902957, 1658687903177
5, Up, 1658687910179, 1658687910397
5, Down Right, 1658687916776, 1658687917137
5, Down Left, 1658687924716, 1658687925116
5, Left, 1658687932150, 1658687932409
5, Up, 1658687939336, 1658687939455
5, Right, 1658687946876, 1658687947078
5, Up Right, 1658687955076, 1658687955315
5, Up Left, 1658687961895, 1658687962236
5, Down Right, 1658687969363, 1658687969700
5, Down Right, 1658687977196, 1658687977516
5, Up, 1658688034184, 1658688034365
5, Left, 1658688040604, 1658688040808
5, Down Left, 1658688048424, 1658688048624
5, Down, 1658688055766, 1658688056006
5, Up Left, 1658688063343, 1658688063643
5, Right, 1658688070983, 1658688071243
5, Up Right, 1658688078952, 1658688079144
5, Down Right, 1658688085893, 1658688086133
5, Up Right, 1658688093294, 1658688093479
5, Left, 1658688100813, 1658688100993
5, Up Right, 1658688109042, 1658688109162
5, Down, 1658688115977, 1658688116132
5, Up Left, 1658688123312, 1658688123512
5, Down Left, 1658688130913, 1658688131151
5, Up, 1658688139234, 1658688139452
5, Down Right, 1658688145901, 1658688146121
14, Left, 1658691235431, 1658691235711
14, Down Right, 1658691242022, 1658691242161
14, Up Left, 1658691249582, 1658691249781
14, Up Right, 1658691256941, 1658691257141
14, Down Left, 1658691264561, 1658691264801
14, Right, 1658691271941, 1658691272081
14, Up, 1658691279340, 1658691279460
14, Down, 1658691287100, 1658691287240
14, Down Left, 1658691294560, 1658691294800
14, Left, 1658691302040, 1658691302139
14, Up, 1658691309470, 1658691309569
14, Right, 1658691317059, 1658691317199
14, Up Right, 1658691324679, 1658691324839
