6, Air_Gestures, Down Left, 1658500549190, 1658500550107, , 0, 0
6, Air_Gestures, Right, 1658500556712, 1658500557273, , 0, 0
6, Air_Gestures, Up, 1658500564225, 1658500564797, , 0, 0
6, Air_Gestures, Down, 1658500571740, 1658500572443, , 0, 0
6, Air_Gestures, Down Left, 1658500579263, 1658500580212, , 0, 0
6, Air_Gestures, Left, 1658500586780, 1658500587435, , 0, 0
6, Air_Gestures, Up, 1658500594291, 1658500594776, , 0, 0
6, Air_Gestures, Right, 1658500601804, 1658500602356, , 0, 0
6, Air_Gestures, Up Right, 1658500609319, 1658500610059, , 0, 0
6, Air_Gestures, Up Left, 1658500616835, 1658500617698, , 0, 0
6, Air_Gestures, Down, 1658500624350, 1658500625004, , 0, 0
6, Air_Gestures, Down Right, 1658500631867, 1658500632761, , 0, 0
6, Air_Gestures, Up, 1658500804808, 1658500805265, , 0, 0
6, Air_Gestures, Left, 1658500812316, 1658500812957, , 0, 0
6, Air_Gestures, Down Left, 1658500819834, 1658500820826, , 0, 0
6, Air_Gestures, Down, 1658500827345, 1658500827976, , 0, 0
6, Air_Gestures, Up Left, 1658500834865, 1658500835768, , 0, 0
6, Air_Gestures, Right, 1658500842378, 1658500842917, , 0, 0
6, Air_Gestures, Up Right, 1658500849894, 1658500850635, , 0, 0
6, Air_Gestures, Down Right, 1658500857410, 1658500858224, , 0, 0
6, Air_Gestures, Right, 1658500864930, 1658500865500, , 0, 0
6, Air_Gestures, Left, 1658500872439, 1658500873087, , 0, 0
6, Air_Gestures, Up Right, 1658500879957, 1658500880700, , 0, 0
6, Air_Gestures, Down, 1658500887471, 1658500888124, , 0, 0
6, Air_Gestures, Up Left, 1658500894985, 1658500895885, , 0, 0
6, Air_Gestures, Down Left, 1658500902496, 1658500903404, , 0, 0
6, Air_Gestures, Up, 1658500910014, 1658500910577, , 0, 0
6, Air_Gestures, Down Right, 1658500917530, 1658500918376, , 0, 0
10, Air_Gestures, Left, 1658502716192, 1658502716763, , 0, 0
10, Air_Gestures, Down Right, 1658502723709, 1658502724555, , 0, 0
10, Air_Gestures, Up Left, 1658502731225, 1658502732094, , 0, 0
10, Air_Gestures, Up Right, 1658502738750, 1658502739469, , 0, 0
10, Air_Gestures, Down Left, 1658502746273, 1658502747261, , 0, 0
10, Air_Gestures, Right, 1658502753790, 1658502754355, , 0, 0
10, Air_Gestures, Up, 1658502761309, 1658502761844, , 0, 0
10, Air_Gestures, Down, 1658502768828, 1658502769504, , 0, 0
10, Air_Gestures, Down Left, 1658502776349, 1658502777302, , 0, 0
10, Air_Gestures, Left, 1658502783867, 1658502784533, , 0, 0
10, Air_Gestures, Up, 1658502791387, 1658502791982, , 0, 0
10, Air_Gestures, Right, 1658502798905, 1658502799512, , 0, 0
10, Air_Gestures, Up Right, 1658502806425, 1658502807227, , 0, 0
10, Air_Gestures, Up Left, 1658502813941, 1658502814790, , 0, 0
10, Air_Gestures, Down, 1658502821461, 1658502822150, , 0, 0
10, Air_Gestures, Down Right, 1658502828973, 1658502829836, , 0, 0
10, Air_Gestures, Up, 1658502897087, 1658502897613, , 0, 0
10, Air_Gestures, Left, 1658502904611, 1658502905291, , 0, 0
10, Air_Gestures, Down Left, 1658502912129, 1658502913063, , 0, 0
10, Air_Gestures, Down, 1658502919640, 1658502920281, , 0, 0
10, Air_Gestures, Up Left, 1658502927155, 1658502927954, , 0, 0
10, Air_Gestures, Right, 1658502934674, 1658502935244, , 0, 0
10, Air_Gestures, Up Right, 1658502942190, 1658502942988, , 0, 0
10, Air_Gestures, Down Right, 1658502949720, 1658502950579, , 0, 0
10, Air_Gestures, Right, 1658502957225, 1658502957798, , 0, 0
10, Air_Gestures, Left, 1658502964742, 1658502965465, , 0, 0
10, Air_Gestures, Up Right, 1658502972260, 1658502973027, , 0, 0
10, Air_Gestures, Down, 1658502979777, 1658502980455, , 0, 0
10, Air_Gestures, Up Left, 1658502987297, 1658502988214, , 0, 0
10, Air_Gestures, Down Left, 1658502994817, 1658502995796, , 0, 0
10, Air_Gestures, Up, 1658503002337, 1658503002801, , 0, 0
10, Air_Gestures, Down Right, 1658503009855, 1658503010715, , 0, 0
10, Swipe_Gestures, Left, 1658503329914, 1658503330490, Left, 1658503331402, 1658503331525
10, Swipe_Gestures, Down Right, 1658503337420, 1658503338342, Down Right, 1658503339156, 1658503339349
10, Swipe_Gestures, Up Left, 1658503344936, 1658503345734, Up Left, 1658503346461, 1658503346656
10, Swipe_Gestures, Up Right, 1658503352465, 1658503353274, Up Right, 1658503354077, 1658503354304
10, Swipe_Gestures, Down Left, 1658503359978, 1658503360872, Down Left, 1658503361539, 1658503361727
10, Swipe_Gestures, Right, 1658503367490, 1658503368115, Right, 1658503369050, 1658503369242
10, Swipe_Gestures, Up, 1658503375002, 1658503375476, Up Left, 1658503376325, 1658503376572
10, Swipe_Gestures, Down, 1658503382529, 1658503383209, Down, 1658503383940, 1658503384195
10, Swipe_Gestures, Down Left, 1658503390045, 1658503391036, Left, 1658503391724, 1658503391938
10, Swipe_Gestures, Left, 1658503397560, 1658503398231, Left, 1658503399062, 1658503399298
10, Swipe_Gestures, Up, 1658503405080, 1658503405631, Up, 1658503406584, 1658503406839
10, Swipe_Gestures, Right, 1658503412595, 1658503413173, Right, 1658503414212, 1658503414367
10, Swipe_Gestures, Up Right, 1658503420107, 1658503420889, Up Right, 1658503421650, 1658503421919
10, Swipe_Gestures, Up Left, 1658503427627, 1658503428523, Up Left, 1658503429673, 1658503429882
10, Swipe_Gestures, Down, 1658503435146, 1658503435761, Down, 1658503436520, 1658503436775
10, Swipe_Gestures, Down Right, 1658503442663, 1658503443540, Down Right, 1658503444349, 1658503444535
10, Swipe_Gestures, Up, 1658503506786, 1658503507344, Up, 1658503508428, 1658503508635
10, Swipe_Gestures, Left, 1658503514302, 1658503514962, Left, 1658503515714, 1658503515958
10, Swipe_Gestures, Down Left, 1658503521809, 1658503522744, Left, 1658503523600, 1658503523875
10, Swipe_Gestures, Down, 1658503529326, 1658503529965, Down, 1658503530659, 1658503530911
10, Swipe_Gestures, Up Left, 1658503536842, 1658503537734, Up Left, 1658503538659, 1658503538956
10, Swipe_Gestures, Right, 1658503544353, 1658503544957, Right, 1658503545899, 1658503546128
10, Swipe_Gestures, Up Right, 1658503551870, 1658503552641, Up Right, 1658503553451, 1658503553687
10, Swipe_Gestures, Down Right, 1658503559384, 1658503560292, Down Right, 1658503561031, 1658503561210
10, Swipe_Gestures, Right, 1658503566894, 1658503567505, Right, 1658503568665, 1658503568871
10, Swipe_Gestures, Left, 1658503574410, 1658503575074, Left, 1658503575959, 1658503576194
10, Swipe_Gestures, Up Right, 1658503581918, 1658503582650, Up Right, 1658503583600, 1658503583812
10, Swipe_Gestures, Down, 1658503589430, 1658503590103, Down, 1658503591041, 1658503591282
10, Swipe_Gestures, Up Left, 1658503596943, 1658503597791, Up Left, 1658503598585, 1658503598818
10, Swipe_Gestures, Down Left, 1658503604455, 1658503605442, Left, 1658503606149, 1658503606330
10, Swipe_Gestures, Up, 1658503611965, 1658503612454, Up Left, 1658503613339, 1658503613529
10, Swipe_Gestures, Down Right, 1658503619482, 1658503620389, Down Right, 1658503621386, 1658503621554
10, Tap_Gestures, Left, 1658503693510, 1658503694090, Left, 1658503695141, 1658503695141
10, Tap_Gestures, Down Right, 1658503701016, 1658503701843, Down Right, 1658503702906, 1658503702906
10, Tap_Gestures, Up Left, 1658503708530, 1658503709378, Up Left, 1658503710173, 1658503710173
10, Tap_Gestures, Up Right, 1658503716045, 1658503716822, Up Right, 1658503717878, 1658503717878
10, Tap_Gestures, Down Left, 1658503723559, 1658503724493, Down Left, 1658503725262, 1658503725262
10, Tap_Gestures, Right, 1658503731075, 1658503731663, Right, 1658503732749, 1658503732749
10, Tap_Gestures, Up, 1658503738592, 1658503739062, Up, 1658503739934, 1658503739934
10, Tap_Gestures, Down, 1658503746112, 1658503746814, Down, 1658503747820, 1658503747820
10, Tap_Gestures, Down Left, 1658503753633, 1658503754552, Down Left, 1658503755477, 1658503755477
10, Tap_Gestures, Left, 1658503761149, 1658503761849, Left, 1658503762693, 1658503762693
10, Tap_Gestures, Up, 1658503768666, 1658503769165, Up, 1658503769954, 1658503769954
10, Tap_Gestures, Right, 1658503776184, 1658503776747, Right, 1658503777853, 1658503777853
10, Tap_Gestures, Up Right, 1658503783703, 1658503784463, Up Right, 1658503785844, 1658503785844
10, Tap_Gestures, Up Left, 1658503791219, 1658503792112, Up Left, 1658503793200, 1658503793200
10, Tap_Gestures, Down, 1658503798729, 1658503799358, Down, 1658503800228, 1658503800228
10, Tap_Gestures, Down Right, 1658503806248, 1658503807076, Down Right, 1658503808106, 1658503808106
10, Tap_Gestures, Up, 1658503858384, 1658503858865, Up, 1658503859800, 1658503859800
10, Tap_Gestures, Left, 1658503865900, 1658503866559, Left, 1658503867309, 1658503867309
10, Tap_Gestures, Down Left, 1658503873418, 1658503874358, Down Left, 1658503875103, 1658503875103
10, Tap_Gestures, Down, 1658503880935, 1658503881567, Down, 1658503882415, 1658503882415
10, Tap_Gestures, Up Left, 1658503888446, 1658503889252, Up Left, 1658503890315, 1658503890315
10, Tap_Gestures, Right, 1658503895965, 1658503896538, Right, 1658503897726, 1658503897726
10, Tap_Gestures, Up Right, 1658503903483, 1658503904258, Up Right, 1658503905355, 1658503905355
10, Tap_Gestures, Down Right, 1658503911000, 1658503911832, Down Right, 1658503912785, 1658503912785
10, Tap_Gestures, Right, 1658503918513, 1658503919050, Right, 1658503920185, 1658503920185
10, Tap_Gestures, Left, 1658503926028, 1658503926765, Left, 1658503927714, 1658503927714
10, Tap_Gestures, Up Right, 1658503933545, 1658503934269, Up Right, 1658503935099, 1658503935099
10, Tap_Gestures, Down, 1658503941063, 1658503941698, Down, 1658503942493, 1658503942493
10, Tap_Gestures, Up Left, 1658503948583, 1658503949432, Up Left, 1658503950391, 1658503950391
10, Tap_Gestures, Down Left, 1658503956098, 1658503957027, Down Left, 1658503958287, 1658503958287
10, Tap_Gestures, Up, 1658503963609, 1658503964116, Up, 1658503965512, 1658503965512
10, Tap_Gestures, Down Right, 1658503971126, 1658503971959, Down Right, 1658503973157, 1658503973157
12, Tap_Gestures, Left, 1658513511639, 1658513512248, Left, 1658513513333, 1658513513333
12, Tap_Gestures, Down Right, 1658513519155, 1658513520013, Down Right, 1658513521361, 1658513521361
12, Tap_Gestures, Up Left, 1658513526670, 1658513527537, Up Left, 1658513528381, 1658513528381
12, Tap_Gestures, Up Right, 1658513534189, 1658513534941, Up Right, 1658513535776, 1658513535776
12, Tap_Gestures, Down Left, 1658513541707, 1658513542685, Down Left, 1658513543216, 1658513543216
12, Tap_Gestures, Right, 1658513549222, 1658513549810, Right, 1658513551021, 1658513551021
12, Tap_Gestures, Up, 1658513556737, 1658513557290, Up, 1658513558582, 1658513558582
12, Tap_Gestures, Down, 1658513564256, 1658513564972, Down, 1658513565929, 1658513565929
12, Tap_Gestures, Down Left, 1658513571791, 1658513572743, Down Left, 1658513573866, 1658513573866
12, Tap_Gestures, Left, 1658513579303, 1658513580057, Left, 1658513580943, 1658513580943
12, Tap_Gestures, Up, 1658513586827, 1658513587361, Up, 1658513588496, 1658513588496
12, Tap_Gestures, Right, 1658513594342, 1658513594886, Right, 1658513596327, 1658513596327
12, Tap_Gestures, Up Right, 1658513601860, 1658513602601, Up Right, 1658513603517, 1658513603517
12, Tap_Gestures, Up Left, 1658513609375, 1658513610287, , 0, 0
12, Tap_Gestures, Down, 1658513616897, 1658513617543, , 0, 0
12, Tap_Gestures, Down Right, 1658513624414, 1658513625254, , 0, 0
12, Tap_Gestures, Up, 1658513701432, 1658513701943, Up, 1658513703206, 1658513703206
12, Tap_Gestures, Left, 1658513708949, 1658513709728, Left, 1658513710748, 1658513710748
12, Tap_Gestures, Down Left, 1658513716467, 1658513717428, Down Left, 1658513718183, 1658513718183
12, Tap_Gestures, Down, 1658513723983, 1658513724645, Down, 1658513725676, 1658513725676
12, Tap_Gestures, Up Left, 1658513731509, 1658513732417, Up Left, 1658513733228, 1658513733228
12, Tap_Gestures, Right, 1658513739008, 1658513739609, Right, 1658513740826, 1658513740826
12, Tap_Gestures, Up Right, 1658513746523, 1658513747242, Up Right, 1658513748343, 1658513748343
12, Tap_Gestures, Down Right, 1658513754037, 1658513754859, Down Right, 1658513756077, 1658513756077
12, Tap_Gestures, Right, 1658513761553, 1658513762134, Right, 1658513763429, 1658513763429
12, Tap_Gestures, Left, 1658513769070, 1658513769738, Left, 1658513770564, 1658513770564
12, Tap_Gestures, Up Right, 1658513776588, 1658513777387, Up Right, 1658513778349, 1658513778349
12, Tap_Gestures, Down, 1658513784103, 1658513784766, Down, 1658513785975, 1658513785975
12, Tap_Gestures, Up Left, 1658513791620, 1658513792515, Up Left, 1658513793490, 1658513793490
12, Tap_Gestures, Down Left, 1658513799136, 1658513800074, Down Left, 1658513801106, 1658513801106
12, Tap_Gestures, Up, 1658513806652, 1658513807185, Up, 1658513808475, 1658513808475
12, Tap_Gestures, Down Right, 1658513814168, 1658513815029, Down Right, 1658513815962, 1658513815962
12, Swipe_Gestures, Left, 1658513872082, 1658513872739, Left, 1658513873774, 1658513874006
12, Swipe_Gestures, Down Right, 1658513879596, 1658513880450, Down Right, 1658513881279, 1658513881573
12, Swipe_Gestures, Up Left, 1658513887113, 1658513887935, Up Left, 1658513888539, 1658513888824
12, Swipe_Gestures, Up Right, 1658513894628, 1658513895383, Up Right, 1658513896026, 1658513896346
12, Swipe_Gestures, Down Left, 1658513902140, 1658513903074, Down Left, 1658513903893, 1658513904078
12, Swipe_Gestures, Right, 1658513909658, 1658513910210, Right, 1658513911254, 1658513911484
12, Swipe_Gestures, Up, 1658513917178, 1658513917779, Up, 1658513918961, 1658513919236
12, Swipe_Gestures, Down, 1658513924695, 1658513925327, Down, 1658513926649, 1658513926896
12, Swipe_Gestures, Down Left, 1658513932208, 1658513933146, Down Left, 1658513933950, 1658513934175
12, Swipe_Gestures, Left, 1658513939723, 1658513940386, Left, 1658513941118, 1658513941425
12, Swipe_Gestures, Up, 1658513947235, 1658513947721, Up, 1658513948543, 1658513948778
12, Swipe_Gestures, Right, 1658513954769, 1658513955377, Right, 1658513956677, 1658513956947
12, Swipe_Gestures, Up Right, 1658513962281, 1658513963020, Up Right, 1658513963791, 1658513964118
12, Swipe_Gestures, Up Left, 1658513969795, 1658513970623, Up Left, 1658513971611, 1658513972027
12, Swipe_Gestures, Down, 1658513977308, 1658513977947, Down, 1658513978781, 1658513978956
12, Swipe_Gestures, Down Right, 1658513984819, 1658513985687, Down Right, 1658513986400, 1658513986703
12, Swipe_Gestures, Up, 1658514034033, 1658514034547, Up, 1658514035637, 1658514035938
12, Swipe_Gestures, Left, 1658514041548, 1658514042309, Left, 1658514043093, 1658514043396
12, Swipe_Gestures, Down Left, 1658514049060, 1658514049986, Down Left, 1658514050562, 1658514050918
12, Swipe_Gestures, Down, 1658514056569, 1658514057184, Down, 1658514058006, 1658514058237
12, Swipe_Gestures, Up Left, 1658514064084, 1658514064899, Up Left, 1658514065576, 1658514065896
12, Swipe_Gestures, Right, 1658514071599, 1658514072260, Right, 1658514073301, 1658514073516
12, Swipe_Gestures, Up Right, 1658514079114, 1658514079921, Up Right, 1658514080751, 1658514081122
12, Swipe_Gestures, Down Right, 1658514086619, 1658514087443, Down Right, 1658514088215, 1658514088530
12, Swipe_Gestures, Right, 1658514094140, 1658514094800, Right, 1658514095616, 1658514095838
12, Swipe_Gestures, Left, 1658514101658, 1658514102322, Left, 1658514103106, 1658514103396
12, Swipe_Gestures, Up Right, 1658514109177, 1658514109927, Up Right, 1658514111026, 1658514111364
12, Swipe_Gestures, Down, 1658514116694, 1658514117310, Down, 1658514118027, 1658514118329
12, Swipe_Gestures, Up Left, 1658514124206, 1658514125033, Up Left, 1658514125732, 1658514126037
12, Swipe_Gestures, Down Left, 1658514131718, 1658514132654, Down Left, 1658514133382, 1658514133648
12, Swipe_Gestures, Up, 1658514139231, 1658514139702, Up, 1658514140639, 1658514140955
12, Swipe_Gestures, Down Right, 1658514146739, 1658514147574, Down Right, 1658514148751, 1658514149083
12, Air_Gestures, Left, 1658514211093, 1658514211770, , 0, 0
12, Air_Gestures, Down Right, 1658514218607, 1658514219431, , 0, 0
12, Air_Gestures, Up Left, 1658514226135, 1658514227001, , 0, 0
12, Air_Gestures, Up Right, 1658514233647, 1658514234382, , 0, 0
